City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,zhangye,0,CN,1525289344,57,38.94,100.46,46.25,5.75
1,pak phanang,12,TH,1525289344,100,8.35,100.2,82.16,3.4
2,tual,32,ID,1525289345,100,-5.67,132.75,81.89,6.76
3,kapaa,68,US,1525289096,93,22.08,-159.32,70.55,3.51
4,ushuaia,12,AR,1525289064,75,-54.81,-68.31,44.09,4.74
5,mataura,64,NZ,1525289345,96,-46.19,168.86,46.25,3.18
6,simao,92,CN,1525289345,100,22.76,100.79,61.1,2.17
7,riberalta,8,BO,1525289346,70,-11.0,-66.08,87.47,2.39
8,tazovskiy,64,RU,1525289346,81,67.47,78.7,8.45,17.6
9,makasar,8,ID,1525289346,92,-6.28,106.88,82.07,2.51
10,arraial do cabo,64,BR,1525289080,90,-22.97,-42.02,76.31,12.24
11,lebu,32,ET,1525289066,88,8.96,38.73,51.29,3.18
12,barrow,68,AR,1525289077,68,-38.31,-60.23,66.32,12.8
13,bethel,0,US,1525289133,89,60.79,-161.76,31.94,4.41
14,rikitea,56,PF,1525289071,100,-23.12,-134.97,75.32,9.78
15,vanderhoof,0,CA,1525289348,50,54.02,-124.02,54.35,8.77
16,tiksi,80,RU,1525289100,83,71.64,128.87,17.09,8.77
17,atuona,64,PF,1525289068,100,-9.8,-139.03,77.93,12.01
18,hilo,64,US,1525289107,100,19.71,-155.08,74.87,11.79
19,pevek,36,RU,1525289106,68,69.7,170.27,9.89,5.75
20,bluff,0,AU,1525289080,93,-23.58,149.07,63.08,5.19
21,henties bay,8,NA,1525289097,89,-22.12,14.28,66.95,5.41
22,itupiranga,20,BR,1525289350,80,-5.13,-49.33,83.33,4.97
23,porto novo,36,BR,1525289351,62,-23.68,-45.44,78.2,5.41
24,kota tinggi,12,MY,1525289351,97,1.73,103.9,74.42,2.06
25,kenitra,68,MA,1525289351,75,34.26,-6.57,61.28,8.99
26,puerto ayora,24,EC,1525289101,90,-0.74,-90.35,79.19,8.43
27,saldanha,44,PT,1525289351,56,41.42,-6.55,57.32,7.2
28,saint-philippe,0,CA,1525289147,67,45.36,-73.48,74.06,14.92
29,ipoh,12,MY,1525289352,100,4.59,101.08,74.96,4.41
30,dikson,68,RU,1525288924,92,73.51,80.55,20.06,22.08
31,longyearbyen,20,NO,1525288796,93,78.22,15.63,26.27,1.72
32,torbay,0,CA,1525289075,58,47.66,-52.73,50.48,17.05
33,chokurdakh,92,RU,1525289095,95,70.62,147.9,32.75,15.7
34,hami,20,CN,1525289354,44,42.84,93.51,58.49,3.74
35,saint george,64,GR,1525289291,42,39.45,22.34,71.99,8.99
36,spring valley,75,US,1525283460,14,41.11,-74.04,87.8,20.8
37,leningradskiy,88,RU,1525289149,96,69.38,178.42,11.42,8.21
38,port alfred,32,ZA,1525289115,86,-33.59,26.89,69.02,15.26
39,buala,56,SB,1525289355,100,-8.15,159.59,79.01,3.74
40,port elizabeth,0,US,1525289067,33,39.31,-74.98,86.39,13.35
41,new norfolk,12,AU,1525289110,82,-42.78,147.06,48.59,6.2
42,vrangel,100,RU,1525289355,91,42.73,133.08,42.11,36.17
43,khuzdar,0,PK,1525289356,27,27.8,66.62,73.61,5.64
44,iqaluit,20,CA,1525288883,93,63.75,-68.52,13.13,17.27
45,kununurra,0,AU,1525289147,76,-15.77,128.74,71.99,2.73
46,talnakh,76,RU,1525289356,86,69.49,88.39,17.63,10.33
47,phan thiet,0,VN,1525289357,99,10.93,108.1,80.45,6.31
48,vardo,0,US,1525289357,32,39.62,-77.74,83.78,8.43
49,busselton,68,AU,1525289079,100,-33.64,115.35,62.36,18.28
50,pechenga,32,RU,1525289357,94,58.89,41.46,51.56,10.78
51,moose factory,56,CA,1525289358,83,51.26,-80.61,46.43,11.68
52,taoudenni,0,ML,1525289159,10,22.68,-3.98,88.64,6.76
53,vallenar,0,CL,1525289358,62,-28.58,-70.76,70.55,2.73
54,tura,48,IN,1525289358,98,25.52,90.21,68.21,1.61
55,mar del plata,80,AR,1525289082,53,-46.43,-67.52,57.41,14.92
56,eldorado,0,MX,1525289359,45,24.32,-107.36,89.27,4.41
57,fairbanks,90,US,1525284660,77,64.84,-147.72,32.0,4.7
58,cabo san lucas,12,MX,1525289155,93,22.89,-109.91,72.62,6.87
59,viedma,92,AR,1525289360,66,-40.81,-62.99,60.83,13.24
60,novichikha,92,RU,1525289360,100,52.2,81.39,40.31,18.84
61,cape town,44,ZA,1525289040,94,-33.93,18.42,62.99,14.47
62,komsomolskiy,0,RU,1525289360,70,67.55,63.78,1.52,6.08
63,sao joao da barra,0,BR,1525289142,100,-21.64,-41.05,77.48,15.37
64,albany,0,US,1525289096,37,42.65,-73.75,80.81,5.86
65,abu dhabi,32,AE,1525289176,78,24.47,54.37,84.23,10.67
66,yanam,12,IN,1525289101,90,16.73,82.22,82.25,7.99
67,mount gambier,92,AU,1525289115,64,-37.83,140.78,58.4,8.66
68,jumla,44,NP,1525289362,77,29.28,82.18,33.11,2.17
69,punta arenas,20,CL,1525289070,93,-53.16,-70.91,45.26,4.18
70,puerto del rosario,0,ES,1525289362,85,28.5,-13.86,65.06,11.68
71,shelbyville,36,US,1525289130,52,39.41,-88.79,83.87,16.93
72,qasigiannguit,68,GL,1525289362,100,68.82,-51.19,18.26,3.96
73,orocue,24,CO,1525289363,96,4.79,-71.34,83.42,4.41
74,sainte-anne-des-monts,92,CA,1525289363,81,49.13,-66.49,45.26,12.01
75,pauini,20,BR,1525289363,65,-7.71,-67.0,88.82,3.29
76,namtsy,76,RU,1525289383,74,62.72,129.66,38.87,4.63
